dataset,expected_location,status,required_for
Maize genome FASTA,external or documented reference-build directory/Maize AGPv5 FASTA,MISSING_BLOCKING,Space Ranger reference build
Maize gene annotation GTF,external or documented reference-build directory/Zm-B73-Reference-NAM-5.0.gtf,MISSING_BLOCKING,Space Ranger reference build and Velocyto
Space Ranger count matrices and spatial outputs for 14 samples,data/raw/<sample_id>/outs/,MISSING_BLOCKING_NOT_IN_ZENODO_22058284,STUtility and Seurat loading from Space Ranger outputs
Space Ranger web summaries for 14 samples,data/processed/<sample_id>_web_summary.html,PUBLIC_ZENODO_DOWNLOAD_REQUIRED,Space Ranger QC review
Loupe Browser files for 14 samples,data/processed/<sample_id>_cloupe.cloupe,PUBLIC_ZENODO_DOWNLOAD_REQUIRED,Loupe Browser inspection
Curated spot metadata,data/metadata/metadata.csv,PRESENT,QC integration velocity and pseudotime
Mitochondrial gene list,data/reference/maize_mitochondrial_genes.txt,PRESENT,QC and integration
Plastid gene list,data/reference/maize_plastid_genes.txt,PRESENT,QC and integration
Fourteen individual Seurat objects,data/processed/<sample_id>_seurat_v5.rds,PRESENT_14_OF_14,QC integration and Monocle 3
Integrated Visium object,data/processed/maize_shoot_14samples_SCT_harmony_seurat_v5.rds,PRESENT,marker pseudobulk and trend workflows
Cluster marker tables,results/tables/markers_harmony_clusters_SCT_*.csv,PRESENT,cluster annotation support
Velocyto loom files,data/raw/loom/<space_ranger_run_id>.loom,PRESENT_LOCAL_PUBLIC_ZENODO,RNA velocity
SRR11943512 raw 10x matrix,data/raw/scRNA_reference/SRR11943512/filtered_feature_bc_matrix/,MISSING_BLOCKING_RAW_REBUILD,scRNA reference integration
SRR11943513 raw 10x matrix,data/raw/scRNA_reference/SRR11943513/filtered_feature_bc_matrix/,MISSING_BLOCKING_RAW_REBUILD,scRNA reference integration
Integrated scRNA reference,data/processed/sc_merged_filter_SCT2_inte.rds,PRESENT,scRNA downstream workflows
Lightweight scRNA reference,data/processed/sce_ref.rds,PRESENT,scRNA plotting
SCINA marker table,data/metadata/scRNA_reference/SCINA_marker_table.csv,PRESENT_GENERATED_FROM_MARKER_LIST2_RDS,SCINA annotation and downstream Visium mapping
SCINA-annotated Seurat reference,data/processed/sc_merged_filter_SCT2_inte_SCINA.rds,PRESENT,Seurat label transfer and SPOTlight
SPOTlight-mapped embryonic-leaf Visium object,data/processed/XGE202122_S5_subset_embleaf_celltype_mapped_SPOTlight_seurat_v5.rds,PRESENT_LOCAL_IGNORED_BY_GIT,label transfer and SPOTlight recalculated on the 6392 SAM-P5 spots
Embryonic-leaf Seurat analysis and UMAP source,data/processed/XGE202122_S5_subset_embleaf_harmony_join.rds,PRESENT,defines the SAM-P5 calculation scope and exact UMAP coordinates for Monocle and SPOTlight
Developmental gene subset,data/reference/developmental_trends/sub_gene.csv,PRESENT,Figure 14 trends
Maize GO mapping,data/reference/developmental_trends/zea_go2.csv,PRESENT,Figure 14 GO enrichment
Maize gene-name mapping,data/reference/developmental_trends/maize_id_name.csv,PRESENT,Figure 14 representative labels
GO term descriptions,data/reference/developmental_trends/go_term_descriptions.csv,OPTIONAL_MISSING,Figure 14 GO labels
Independent cell-type module markers,data/metadata/scRNA_reference/independent_celltype_module_markers.csv,OPTIONAL_MISSING,SPOTlight validation
